outcome	exposure	method	nsnp	b	se	pval(ivw)	egger_intercept	pval(intercept)
IL18	COVID19	Inverse variance weighted	101	0.059294445	0.007651038	9.20E-15	-0.006482886	0.663822983
IL2ra	COVID19	Inverse variance weighted	109	0.051715078	0.007083789	2.87E-13	-0.044531848	0.000413499
GCSF	COVID19	Inverse variance weighted	114	0.048448012	0.004705936	7.42E-25	-0.021704051	0.007067861
SDF1a	COVID19	Inverse variance weighted	117	0.032154574	0.004700722	7.90E-12	-0.021625621	0.006945769
IL17	COVID19	Inverse variance weighted	115	0.019792151	0.004760404	3.22E-05	-0.018811442	0.021579589
Eotaxin	COVID19	Inverse variance weighted	117	0.015632065	0.004590661	0.000661185	-0.008271615	0.283446337
IL4	COVID19	Inverse variance weighted	99	0.013239022	0.005209587	0.01104473	-0.022532183	0.030926332
IFNg	COVID19	Inverse variance weighted	117	-0.012552019	0.004732619	0.007996082	-0.025600989	0.001583724
IL10	COVID19	Inverse variance weighted	115	-0.014188765	0.004767891	0.002921303	-0.017323813	0.033213089
PDGFbb	COVID19	Inverse variance weighted	116	-0.014953356	0.004573571	0.001077322	-0.031199336	9.26E-05
TRAIL	COVID19	Inverse variance weighted	105	-0.02029788	0.004818797	2.53E-05	0.001789097	0.834794086
SCF	COVID19	Inverse variance weighted	115	-0.020581202	0.004571514	6.73E-06	0.02549806	0.001096711
IL8	COVID19	Inverse variance weighted	116	-0.023807456	0.00698255	0.000650666	-0.022467668	0.058170454
IL13	COVID19	Inverse variance weighted	113	-0.025978683	0.007048115	0.000227891	-0.033513771	0.006862564
IL1b	COVID19	Inverse variance weighted	117	-0.0363872	0.005453081	2.51E-11	-0.000747805	0.935120572
CCL2	COVID19	Inverse variance weighted	32	-0.036592527	0.009153724	6.40E-05	0.004598579	0.674327717
IL16	COVID19	Inverse variance weighted	116	-0.040814163	0.007062003	7.50E-09	0.009811352	0.414863456
CCL3	COVID19	Inverse variance weighted	115	-0.042461042	0.007017553	1.44E-09	-0.009534732	0.426501882
IL5	COVID19	Inverse variance weighted	112	-0.044698637	0.007293456	8.87E-10	-0.004171684	0.743317383
bNGF	COVID19	Inverse variance weighted	108	-0.046904777	0.007243573	9.46E-11	-0.037836686	0.003869268
MIG	COVID19	Inverse variance weighted	113	-0.048677693	0.006905431	1.80E-12	0.031833733	0.007012332
MCSF	COVID19	Inverse variance weighted	117	-0.050252982	0.008649989	6.26E-09	-0.008210279	0.575696273
SCGFb	COVID19	Inverse variance weighted	114	-0.054601147	0.006916956	2.93E-15	-0.00556728	0.633221907
RANTES	COVID19	Inverse variance weighted	56	-0.060503701	0.010304689	4.32E-09	0.026282847	0.038001761
IP10	COVID19	Inverse variance weighted	104	-0.067205856	0.007179992	7.96E-21	0.036629929	0.005972626
MIF	COVID19	Inverse variance weighted	116	-0.08930524	0.007040366	7.18E-37	-0.02647808	0.029109884
CCL7	COVID19	Inverse variance weighted	111	-0.137475502	0.012716078	3.05E-27	0.040947071	0.069802534
